id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-15,CLI003,credito,12500.00,Venda de veículo,venda
4,2026-01-20,CLI001,debito,150.00,Conta de luz,conta
5,2026-01-25,CLI002,debito,50.00,Farmácia,saude
6,2026-02-03,CLI004,debito,200.00,Restaurante,alimentacao
7,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
8,2026-02-18,CLI002,debito,320.00,Condomínio,conta
9,2026-02-20,CLI001,debito,80.00,Streaming,assinatura
10,2026-02-28,CLI004,credito,4000.00,Salário,salario
11,2026-03-01,CLI001,credito,3500.00,Salário,salario
12,2026-03-10,CLI003,debito,99.90,Internet,conta
13,2026-03-15,CLI002,debito,450.00,Manutenção,servico
14,2026-03-22,CLI004,debito,120.00,Roupas,compra
15,2026-03-30,CLI001,debito,60.00,Padaria,alimentacao
,2026-03-05,CLI005,credito,1000.00,Erro: ID vazio,teste
17,2026-15-05,CLI001,debito,100.00,Erro: Data,teste
18,2026-03-12,,credito,500.00,Erro: Cliente,teste
19,2026-03-20,CLI002,investimento,200.00,Erro: Tipo,teste
20,2026-03-25,CLI003,debito,-50.00,Erro: Valor,teste
